Facility ID,PSI 90 Composite Value,CLABSI SIR,CAUTI SIR,SSI SIR,CDI SIR,MRSA SIR,Total HAC Score,Payment Reduction
30146,0.9516,0.465,0,1.155,0.197,,-0.4163,No
30147,0.8807,0,0.748,0.96,0.387,0,-0.4846,No
30148,0.888,0,1.047,1.04,0.085,,-0.3421,No
30152,,,,,,,,No
30153,,,,,,,2.1966,Yes
30154,,,,,,,2.1717,Yes
30155,,,,,,,,No
40001,0.9113,,,1.718,0,,-0.1715,No
40002,0.9841,,0,,0.415,,-0.4015,No
40004,0.7208,0.704,0.306,0.908,0.366,0.854,-0.2427,No
40007,1.013,0.713,0.136,0.408,0.256,0.582,-0.3402,No
40010,0.7478,0.266,0.365,1.884,0.358,0.244,-0.3273,No
40011,,,,,0,,-1.4622,No
40014,0.853,0,0.363,1.321,0.527,0.987,-0.1343,No
40016,0.9386,1.133,0.818,0.818,0.469,1.24,0.4933,Yes
40017,1.0444,,,,,,1.7451,Yes
40018,,,,,,,,No
40019,0.9757,,,,0,,-0.7758,No
40020,3.1785,0.391,0.388,0.824,0.685,0.671,0.4531,Yes
40022,0.9403,1.101,0.369,1.255,0.252,0.6,0.0643,No
40026,0.8898,0.201,0.045,0.517,0.087,0.761,-0.7337,No
40027,0.9147,0.308,0.563,0.409,0.239,0.596,-0.4455,No
40029,1.1578,0.975,0.62,0.965,0.29,1.613,0.664,Yes
40036,0.9393,0.284,0.211,1.357,0.285,1.055,-0.1074,No
40039,0.9837,0,0.537,,1.431,,0.1823,No
40041,0.9628,1.085,1.333,2.7,0.082,0,0.3993,Yes
40050,0.9503,,0.589,,0.883,,0.5972,Yes
40051,0.9607,,,,1.327,,0.9995,Yes
40055,1.3044,0.558,0.421,1.49,0.336,1.26,0.6501,Yes
40062,0.6984,0.905,0.17,0.839,0.119,0.687,-0.4569,No
40067,0.9762,,2.209,,0,,0.2795,No
40069,0.9695,,,,0,,-0.7971,No
40071,0.9081,1.448,0.414,2.818,0.441,1.795,0.9521,Yes
40072,0.9831,,,,,,-0.0371,No
40076,0.9861,,,,0,,-0.7395,No
40078,1.0719,1.103,0.838,1.584,0.059,0.37,0.2958,No
40084,0.8692,0,0,0.547,0.333,0,-0.9512,No
40088,0.8862,,0.491,1.569,1.505,0.744,0.5346,Yes
40114,0.8992,0.509,0.454,1.053,0.189,0.905,-0.1704,No
40118,1.1818,0.784,0.303,0.343,0.455,2.143,0.4716,Yes
40119,2.0625,1.956,0.64,1.039,0.154,0.513,0.6746,Yes
40132,,,,,0,,0.3548,No
40134,1.0158,0.366,1.185,,0.6,2.51,0.8514,Yes
40137,0.9077,0,0.168,,0.319,1.722,-0.1938,No
40147,0.8007,,0,,0,,-1.3638,No
40153,,,,,,,,No
40154,1.046,1.81,0.241,0.679,0.448,3.448,0.6847,Yes
40156,,,,,,,,No
40161,0.8985,0,0,,0.905,,-0.3278,No
40164,,,,,,,,No
50002,1.0218,0.413,0.849,,0.862,1.649,0.8753,Yes
50006,0.6801,0.319,0.384,0.875,0.472,0.257,-0.5092,No
50007,0.8074,0,0.23,0.555,0.228,0.172,-0.9363,No
50008,0.98,0.747,0.407,,0.484,1.558,0.4281,Yes
50009,0.8589,0.879,0,1.043,0.285,0.449,-0.3563,No
50013,1.2092,0.286,0,0.746,0.789,0.875,0.2109,No
50014,1.0516,,0,,0.233,,-0.4794,No
50017,1.4164,0.392,0.173,0.725,0.107,0.326,-0.1543,No
50022,0.9853,1.022,0.673,1.385,0.23,0.907,0.3381,No
50024,0.8733,1.259,0.603,,0.067,0,-0.363,No
50025,1.025,0.69,0.664,0.266,0.61,0.986,0.2056,No
50026,1.223,0.477,0.333,0.355,0.554,0.6,0.0755,No
50028,1.0159,,,0,2.211,,0.3094,No
50030,0.9334,1.455,0.588,2.456,0.464,0.538,0.6428,Yes
50036,0.8818,0.632,0.537,0.95,0.192,0.404,-0.3117,No
50038,1.0715,0.932,1.069,1.813,0.385,0.876,0.7741,Yes
50039,0.9865,0.573,0.481,0.256,0.855,0.207,-0.074,No
50040,1.1404,1.026,1.833,0.309,0.482,0.753,0.669,Yes
50042,0.8968,,0,0.977,0,,-0.8009,No
50043,0.8896,0.212,0.183,0.23,0.257,0.295,-0.8087,No
50045,0.8867,0.958,2.573,0.916,1.741,0,0.5567,Yes
50047,1.0583,0.658,0.314,1.345,0.19,0.715,0.034,No
50054,0.9574,1.076,0.24,,,,1.1204,Yes
50055,0.8704,0,0.688,0.58,0.324,0.87,-0.3667,No
50056,1.0766,0.552,1.239,0.59,0.556,0.772,0.4264,Yes
50057,0.8131,0.959,0.436,1.267,0.453,0.803,0.0922,No
50058,0.8667,0.76,0.371,0.861,0.031,0.263,-0.5249,No
50060,1.0792,0.932,1.063,1.13,1.005,0.934,0.9666,Yes
50063,0.8612,0,0.31,0,0.076,0.408,-1.0158,No
50067,0.9777,,,,1.285,,1.0591,Yes
50069,1.1656,0.436,0.936,0.696,0.418,0.947,0.3656,No
50070,0.9714,0.377,0.55,1.006,0.133,0,-0.4636,No
50071,1.0143,0.722,1.248,1.39,0.436,0.579,0.507,Yes
50072,1.1358,0.827,0.727,0.994,0.574,0.129,0.2989,No
50073,0.9697,0.442,0.963,1.07,0.415,0.403,0.0662,No
50075,1.0088,0.863,0.64,1.3,0.263,0.881,0.2786,No
50076,1.1741,1.154,0.864,1.396,0.34,0,0.4438,Yes
50077,0.9217,0.838,0.611,1.197,0.119,0.571,-0.0743,No
50078,0.896,0,0.769,0.583,0.215,0.566,-0.4798,No
50082,0.8457,0.698,0.126,0.715,0.412,0.838,-0.2672,No
50084,1.0596,1.014,0.491,1.158,0.273,1.089,0.3746,No
50089,1.1353,0.358,0.312,0,0.36,0,-0.5166,No
50090,1.1138,,,,1.404,,1.5341,Yes
50091,0.9235,2.692,0,,1.31,,0.6653,Yes
50093,1.0197,1.122,0.55,1.054,0.538,0.789,0.4306,Yes
50099,1.1193,0.556,0.664,0.98,0.318,0.698,0.1786,No
50100,1.2055,0.696,0.581,0.88,0.624,0.543,0.4146,Yes
50101,1.0011,0.337,1.537,0.921,0.173,0,-0.0464,No
50102,0.9388,0.424,0.38,0,0.161,0,-0.8207,No
50103,0.9631,0.285,1.051,0.376,0.18,0.665,-0.2254,No
50104,0.8208,0.2,0.482,0.081,0.397,0.675,-0.5932,No
50107,0.6685,0.686,0.258,1.476,0.126,0.617,-0.3442,No
50108,0.9861,0.52,0.642,1.022,0.277,0.427,-0.108,No
50110,1.0155,0.973,0.311,2.118,0.496,,0.62,Yes
50112,1.0339,1.322,1.044,1.866,0.494,0.715,0.9006,Yes
50113,0.9728,0,0,0.569,1.158,0.838,-0.1382,No
50115,0.9487,0.701,0.865,0.758,0.371,0.194,-0.0878,No
50116,0.781,0.196,0.241,0.34,0.163,0.572,-0.8508,No
50118,0.9562,1.151,1.79,,0.374,0.902,0.7677,Yes
50121,0.7667,0.784,0.342,0.65,0.412,0.212,-0.4649,No
50122,0.8867,1.502,0,0,0.331,3.568,0.1061,No
50124,0.8995,1.102,0.622,0.822,0.534,1.076,0.343,No
50125,0.9862,0.507,0.322,1.004,0.099,0.722,-0.2588,No
50126,0.8687,0.736,1.073,0.609,0.158,0.984,0.0114,No
50127,1.0363,0,0.711,0,0.725,0,-0.3744,No
50128,0.9267,0.716,0.552,0.986,0.892,0.798,0.3784,No
50129,1.0303,0.079,0.223,0.508,0.289,0.782,-0.4108,No
50131,0.8474,,,,0.137,,-0.9582,No
50132,0.9597,1.692,0.131,0,0.169,0.289,-0.3469,No
50133,0.8987,0.562,0.353,0.593,0.21,1.43,-0.1259,No
50135,0.8674,0,0,,0.024,0,-1.2793,No
50136,0.8839,0,2.471,2.171,0.314,,0.4351,Yes
50137,0.9238,0.54,1.317,0.423,0.416,0.215,-0.0567,No
50138,0.9813,0.517,0.819,1.061,0.342,0.533,0.0463,No
50139,0.9922,0.671,0.583,0.792,0.523,0.775,0.1481,No
50140,0.9742,0.41,0.566,1.027,0.428,0.361,-0.119,No
50145,1.4859,0.611,0.621,0.221,0.716,0.424,0.3936,Yes
50149,1.0563,0.759,0.285,1.046,0.33,1.389,0.2988,No
50150,0.8333,0,0.548,0.673,0.136,0,-0.864,No
50152,0.8143,0.28,0.884,0.873,0,3.003,-0.0598,No
50158,0.9457,0,0.925,,0.113,0,-0.6552,No
50159,0.9472,1.19,1.356,0.855,1.216,1.252,1.0627,Yes
50167,1.4933,0.741,0.237,0.515,0.198,0.939,0.2186,No
50168,0.7938,0.255,0.697,0.45,0.424,0.74,-0.3715,No
50169,1.0539,0.406,0.876,1.01,0.926,0.582,0.4903,Yes
50174,0.7602,1.2,0.801,1.356,0.288,1.102,0.3119,No
50179,0.865,1.1,0,1.054,0.18,0,-0.4847,No
50180,1.1372,1.033,0.511,1.415,0.533,0.617,0.5571,Yes
50191,0.9979,0.412,0.397,0.467,0.254,0.944,-0.2277,No
50192,,,,,0.858,,1.8601,Yes
50194,0.885,0,1.442,0.889,1.192,,0.4576,Yes
50195,0.9228,0,0.541,0.657,0.231,0.987,-0.3622,No
50197,0.9202,0.808,0.992,0.764,0.189,0.685,0.0267,No
50204,0.868,0.419,0.482,0.646,0.269,0.214,-0.5354,No
50211,0.8895,0,0,,0.835,0,-0.6204,No
50222,1.119,1.06,0.474,1.022,0.382,0.814,0.3905,Yes
50224,0.9862,0.358,0.33,0.837,0.524,0.277,-0.2416,No
50226,0.9037,0.236,0.423,1.972,0.494,0.904,0.1757,No
50228,1.1218,0.412,1.016,1.75,0.474,0.44,0.4979,Yes
50230,0.867,1.841,0,,0.427,2.844,0.498,Yes
50231,0.6465,0.736,0.487,0.912,0.551,0.441,-0.1809,No
50232,0.7167,0,0.722,0.972,0.103,0.687,-0.5574,No
50234,1.2221,0.78,0.436,,0.925,0,0.4857,Yes
50235,0.9633,0.685,0.665,0.211,0.403,0.416,-0.2155,No
50236,1.09,1.103,0.253,0.271,0.36,1.795,0.3861,Yes
50238,1.279,1.29,0.943,0.899,0.752,0.594,0.981,Yes
50239,0.7406,0.338,0.215,0,0.127,0.831,-0.8423,No
50242,1.1485,0.092,0.606,0.425,0.579,0.528,-0.0394,No
50243,0.7736,0.497,0.773,0.233,0.535,0.726,-0.2634,No
50245,0.8839,0.583,0.826,0.956,0.296,0.737,-0.0272,No
50248,1.1773,0.358,0.606,0.277,0.467,0.241,-0.1175,No
50254,0.8609,0,0,0,0.962,1.457,-0.2152,No
50257,1.0529,,,,0,,-0.5063,No
50261,1.0766,0.468,0.439,1.584,0.247,1.878,0.5017,Yes
50262,0.8941,0.892,0.711,1.158,0.542,0.517,0.1977,No
50272,0.9627,0.753,0.427,1.232,0.785,0.982,0.4496,Yes
50276,1.0888,0,0.683,1.604,0.374,0,-0.0931,No
50278,0.9267,0.424,0.982,0.306,0.227,0.24,-0.3794,No
50279,0.9722,0.953,0.954,1.609,0,,0.3018,No
50280,1.2262,0.254,0.236,0.908,0.39,0.39,-0.0672,No
50281,0.956,0.475,0.613,0,0.391,2.358,0.0747,No
50283,0.7964,0.538,0.722,0.358,0.22,0.454,-0.5065,No
50289,0.9114,0,0.558,0,0.66,1.474,-0.1096,No
50290,0.8687,0.582,0.564,0,0.911,1.779,0.3304,No
50291,1.0309,0.233,0.114,0.163,0.229,0.817,-0.5193,No
50292,0.9337,0.192,0.238,0,0.358,1.327,-0.3842,No
50295,1.0973,0.334,0.582,0.224,0.15,1.006,-0.1828,No
50298,1.3087,0.778,0.553,,2.63,,1.2103,Yes
50300,1.0527,1.383,0.189,1.184,0.576,0.704,0.4569,Yes
50301,0.9097,0.59,0,0.666,0.508,0,-0.5291,No
50305,0.8713,0.317,0.487,2.067,0.206,0.777,-0.0079,No
50308,1.0255,0.193,0.697,0.778,0.431,0.328,-0.1713,No
50309,0.906,0.274,0.575,0.547,0.192,0.34,-0.544,No
50313,0.8338,0.87,0.441,0.383,0.27,0.747,-0.3061,No
50315,1.0066,0.871,0.396,0.403,0.312,0.575,-0.1499,No
50320,1.0669,0.601,1.934,2.686,0.812,0.865,1.1876,Yes
50324,1.3933,0.427,0.639,0.611,0.31,0.485,0.2003,No
50327,0.713,0.358,0.444,0.574,0.382,0.362,-0.5774,No
50329,0.8128,0,0,0.169,0.168,0.234,-1.1498,No
50334,0.9787,0.649,0.62,0.584,0.327,0.254,-0.2286,No
50335,0.8606,2.044,0.67,1.814,0.408,,0.6825,Yes
50336,0.9878,1.288,0.137,0.713,0.617,1.316,0.4289,Yes
50342,1.1586,1.699,0.892,2.521,0.55,1.322,1.4007,Yes
50348,0.9021,0.453,0.435,0.413,0.385,0.515,-0.3883,No
50350,1.4968,0,0,,1.573,,0.4948,Yes
50351,1.3636,0.437,1.308,0.456,0.382,0.483,0.4744,Yes
50352,0.8826,,,0.502,0.765,,0.0548,No
50353,0.8941,0.476,0.629,0.208,0.326,0.417,-0.4416,No
50357,1.0782,,0,,0,,-0.7182,No
50360,1.0448,0.577,0.632,0.686,0.33,0.22,-0.1555,No
50367,1.0413,0.111,1.288,0.347,0.373,0.803,0.0578,No
50373,0.9689,0.476,0.418,0.328,0.103,1.411,-0.2027,No
50376,1.3984,1.52,1.154,1.753,0.562,1.16,1.5535,Yes
50378,0.9593,2.597,2.513,,0.607,2.97,1.5073,Yes
50380,0.8388,0.649,1.169,1.94,0.307,0.512,0.2933,No
50382,0.8499,0,0.703,0.421,0.662,0.641,-0.2916,No
50390,0.8853,0.279,0.054,0.64,0.563,1.016,-0.2741,No
50393,0.8661,0.872,0,0,0.416,0.671,-0.4866,No
50394,0.8157,1.23,0.903,1.514,0.793,0.106,0.4347,Yes
50396,0.9435,0.754,0.3,1.471,0.534,0.412,0.0843,No
50407,1.1279,,,1.89,0.467,,1.0334,Yes
50411,0.8924,1.404,0.938,1.641,0.354,0.988,0.6655,Yes
50414,0.9631,0.333,0.898,0,0.101,0,-0.6583,No
50417,0.9495,0,0.95,0,0.324,,-0.4743,No
50424,0.9638,1.719,1.157,0.231,0.418,0.554,0.3891,Yes
50425,0.9713,0.783,0.654,1.341,0.414,0.71,0.2594,No
50426,0.8004,0.178,0.498,0,0.071,1.633,-0.5188,No
50438,0.9045,1.483,1.35,2.718,0.833,0.58,1.1788,Yes
50441,0.8647,0.698,0.687,0.994,0.485,0.759,0.0796,No
50444,0.7471,0.482,0.21,1.186,0.292,0.197,-0.5643,No
50454,1.0451,0.68,0.806,0.806,0.638,0.416,0.2558,No
50455,0.8234,0.708,0.383,0.494,0.335,0.409,-0.4482,No
50457,0.9582,0.311,0.355,2.513,0,0.429,-0.2017,No
50464,1.3547,0.655,0.395,0.473,0.342,0.679,0.2392,No
50468,0.865,2.228,0.198,0.514,0.187,1.065,-0.0015,No
50471,1.1345,0.461,0.418,0.276,0.449,0.535,-0.1125,No
50481,1.0708,1.251,0.429,0.771,0.635,1.325,0.6598,Yes
50485,1.0916,0.681,0.548,1.31,0.676,1.198,0.6475,Yes
50488,0.8128,0.615,0.28,0.663,0.048,0.668,-0.5847,No
50492,1.1541,1.008,0.639,2.029,0.688,1.75,1.2885,Yes
50496,1.03,0.723,0.471,1.75,0.756,0.551,0.513,Yes
50498,1.0409,0.384,0,0,0.131,0,-0.8894,No
50503,0.9828,0.575,0.323,0.461,0.157,0.794,-0.3285,No
50506,0.9636,0.389,0.262,0,0.309,0,-0.7573,No
50510,0.9643,0.585,0.215,2.033,0.691,0.623,0.3443,No
50512,0.9692,0.965,1.18,0.579,0.483,0.748,0.3788,No
50515,1.0147,0.118,1.21,1.859,0.59,0.406,0.4316,Yes
50516,0.775,0.386,0.428,0.542,0.119,0.566,-0.6809,No
50517,0.8957,2.063,0.582,0,0.481,0.674,0.0953,No
50523,0.884,0.356,0.314,0,0.411,0.454,-0.6179,No
50526,0.9064,3.866,1.511,,0.891,0.936,1.2956,Yes
50528,0.9456,,,,0,,-0.8808,No
50534,0.9117,0,0,0,0.107,0.609,-0.9917,No
50537,0.8781,0,0.722,0,0.19,,-0.7877,No
50541,0.9092,0.895,0.072,1.317,0.287,0,-0.3395,No
50543,,,,,0,0,-1.4597,No
50546,,,,,,,2.1717,Yes
50549,0.8331,0.428,0.921,0.627,0.586,0,-0.2715,No
50551,1.1896,0.467,1.234,0.838,0.761,0.872,0.7609,Yes
50557,1.0198,0.449,0.215,1.59,0.106,0.626,-0.1466,No
50561,0.9102,0.551,0.384,0.988,0.468,1.07,0.0495,No
50567,0.9221,0.684,0.352,0.406,0.361,0.235,-0.4242,No
50570,0.882,0.86,0.915,0.928,0.521,0.468,0.1569,No
50573,0.7458,0.451,0.514,0.837,0.334,0.38,-0.463,No
50580,0.8718,3.07,0.396,0,0.486,,0.005,No
50581,1.1568,0.308,0.84,0,0.252,0.525,-0.1856,No
50586,0.8824,0.623,0,0,0.166,1.462,-0.4497,No
50588,0.8698,0.26,0.465,,0.58,1.622,0.1774,No
50589,0.974,1.604,0,0,0.248,0.682,-0.195,No
50590,0.847,0,1.75,1.476,0.064,0.934,0.0575,No
50597,1.1646,0,0.156,0.458,0.918,1.431,0.3057,No
50599,0.9802,0.803,0.813,0.997,1.308,1.34,0.8046,Yes
50603,0.9894,0.463,0.89,0.434,0.531,0.511,-0.0013,No
50604,0.8929,1.027,0.523,1.221,0.448,1.254,0.387,Yes
50608,1.0251,,1.504,,0,,0.3669,No
50609,0.882,1.172,0.77,1.025,0.48,0.245,0.1429,No
50624,1.2253,0.396,0.663,1.581,0.503,1.463,0.7971,Yes
50625,1.0719,0.749,0.541,0.982,0.66,0.457,0.286,No
50633,0.9422,3.127,1.299,0.476,0.31,0.634,0.4492,Yes
50636,0.9443,0.67,0.191,1,0.321,1.788,0.2072,No
50641,0.9594,,0,,0.375,0,-0.7472,No
50663,0.6636,0,1.046,,0.165,2.746,-0.057,No
50668,,,,,0,,-1.4622,No
50674,0.862,0.786,0.959,0.96,0.528,1.003,0.3227,No
50677,0.9975,1.966,0.958,0.821,0.265,1.243,0.6581,Yes
50678,1.0423,1.26,0.166,1.257,0.547,0.917,0.4643,Yes
50684,0.9671,,0,,0.183,0.9,-0.4495,No
50686,0.8565,1.286,0.407,1.11,0.261,0.486,-0.0217,No
50689,0.818,,0,0.377,0.649,0,-0.7452,No
50690,0.948,0.72,0.488,1.28,0.449,0.469,0.0625,No
50696,0.7915,0.748,0.601,0.861,0.677,0.654,0.0285,No
50697,0.9806,,,,,,-0.0548,No
50701,1.2037,0,0.62,0.48,0.386,0.389,-0.1624,No
50704,0.8449,1.427,2.308,,1.292,0.689,1.0928,Yes
50708,0.818,,,,,,-1.19,No
50709,0.8397,0.247,0.456,0,0.206,0,-0.9449,No
50710,0.9343,1.538,0.305,1.175,0.441,1.103,0.4749,Yes
50714,1.0105,,,0.363,,,-0.3403,No
50717,0.9189,0.281,3.565,,1.272,2.212,1.1129,Yes
50723,1.0238,0.765,0.481,0.733,0.966,0.169,0.224,No
50726,0.9718,,,,,,-0.1162,No
50735,0.8858,0,0.229,,0.348,0,-0.8923,No
50736,0.9171,1.538,1.932,0.838,0.877,1.953,1.3646,Yes
50737,0.9722,1.877,1.617,2.623,0.457,0.721,1.1736,Yes
50738,0.9482,0.354,0.254,,0.468,,-0.3057,No
50739,0.8344,0.698,0.218,0,0,1.201,-0.587,No
